### PARAMETERS VALUE ###
### LATTICESIZE = 49, NVARIETY = 10, NVARIETYHD = 5, NRESOURCE = 3, NRESOURCEDIST = 1, NETWORKTYPE = 1, PROBABILITYCONNECTION = 0.15, KWT = 4, BETAWT = 0.2, MSF = 2, OUTSIDETRADELIMIT = 0.32, SELECTIONSTRENGTH = 10, ALPHA = 0.6, NHOUSEHOLD = 49, PROBABILITYNEWVAR = 0.06, PERCENTAGENEWRANDVAR = 0.1, CROSSINGDEVIATION = 0.005, DEATHPROBABILITY = 0.2, MAXTIME = 3000, TIMEINTERVAL = 30, NRUN = 1 ###

value; productivity; quality; param
0.925; 0; 0; 29
0.975; 0; 0; 29
0.025; 0; 0; 30
0.075; 0; 0; 30
0.125; 0; 0; 30
0.175; 0; 0; 30
0.225; 0; 0; 30
0.275; 0; 0.458142; 30
0.325; 0; 0.124948; 30
0.375; 0.0416493; 0.666389; 30
0.425; 0.124948; 0.458142; 30
0.475; 1.12453; 20.7413; 30
0.525; 0.0832986; 35.9431; 30
0.575; 16.8263; 28.9044; 30
0.625; 81.8006; 12.6614; 30
0.675; 0; 0.0416493; 30
0.725; 0; 0; 30
0.775; 0; 0; 30
0.825; 0; 0; 30
0.875; 0; 0; 30
0.925; 0; 0; 30
0.975; 0; 0; 30
0.025; 0; 0; 31
0.075; 0; 0; 31
0.125; 0; 0; 31
0.175; 0; 0; 31
0.225; 0; 0; 31
0.275; 0; 0.957934; 31
0.325; 0; 0.0416493; 31
0.375; 0; 0.999583; 31
0.425; 0.999583; 31.1535; 31
0.475; 0.0832986; 18.992; 31
0.525; 24.0732; 29.7791; 31
0.575; 39.7748; 18.0341; 31
0.625; 35.0685; 0; 31
0.675; 0; 0; 31
0.725; 0; 0.0416493; 31
0.775; 0; 0; 31
0.825; 0; 0; 31
0.875; 0; 0; 31
0.925; 0; 0; 31
0.975; 0; 0; 31
0.025; 0; 0; 32
0.075; 0; 0; 32
0.125; 0; 0; 32
0.175; 0; 0; 32
0.225; 0; 0; 32
0.275; 0; 0; 32
0.325; 0; 0; 32
0.375; 0.0832986; 0; 32
0.425; 0.124948; 0; 32
0.475; 0; 33.3192; 32
0.525; 0.832986; 52.8527; 32
0.575; 0; 12.9946; 32
0.625; 98.9611; 0; 32
0.675; 0; 0; 32
0.725; 0; 0.832986; 32
0.775; 0; 0; 32
0.825; 0; 0; 32
0.875; 0; 0; 32
0.925; 0; 0; 32
0.975; 0; 0; 32
0.025; 0; 0; 33
0.075; 0; 0; 33
0.125; 0; 0; 33
0.175; 0; 0; 33
0.225; 0; 0; 33
0.275; 0; 1.08288; 33
0.325; 0; 1.08288; 33
0.375; 0; 2.54061; 33
0.425; 0; 7.95504; 33
0.475; 0; 12.2033; 33
0.525; 4.24823; 35.8181; 33
0.575; 81.6757; 36.901; 33
0.625; 14.0775; 2.41566; 33
0.675; 0; 0; 33
0.725; 0; 0; 33
0.775; 0; 0; 33
0.825; 0; 0; 33
0.875; 0; 0; 33
0.925; 0; 0; 33
0.975; 0; 0; 33
0.025; 0; 0; 34
0.075; 0; 0; 34
0.125; 0; 0; 34
0.175; 0; 0; 34
0.225; 0; 0; 34
0.275; 0; 0; 34
0.325; 0; 0; 34
0.375; 0; 2.70721; 34
0.425; 0; 17.5343; 34
0.475; 0.0416493; 32.4446; 34
0.525; 0.166597; 29.0294; 34
0.575; 0; 17.9092; 34
0.625; 0.374844; 0.374844; 34
0.675; 99.4193; 0; 34
0.725; 0; 0; 34
0.775; 0; 0; 34
0.825; 0; 0; 34
0.875; 0; 0; 34
0.925; 0; 0; 34
0.975; 0; 0; 34
0.025; 0; 0; 35
0.075; 0; 0; 35
0.125; 0; 0; 35
0.175; 0; 0; 35
0.225; 0; 0; 35
0.275; 0; 0; 35
0.325; 0; 0; 35
0.375; 0; 0; 35
0.425; 0; 22.9903; 35
0.475; 0; 27.2801; 35
0.525; 0; 38.6919; 35
0.575; 0; 11.0371; 35
0.625; 30.737; 0; 35
0.675; 69.2635; 0; 35
0.725; 0; 0; 35
0.775; 0; 0; 35
0.825; 0; 0; 35
0.875; 0; 0; 35
0.925; 0; 0; 35
0.975; 0; 0; 35
0.025; 0; 0; 36
0.075; 0; 0; 36
0.125; 0; 0; 36
0.175; 0; 0; 36
0.225; 0; 0; 36
0.275; 0; 0; 36
