### PARAMETERS VALUE ###
### LATTICESIZE = 49, NVARIETY = 10, NVARIETYHD = 5, NRESOURCE = 3, NRESOURCEDIST = 1, NETWORKTYPE = 1, PROBABILITYCONNECTION = 0.15, KWT = 4, BETAWT = 0.2, MSF = 2, OUTSIDETRADELIMIT = 0.32, SELECTIONSTRENGTH = 10, ALPHA = 0.6, NHOUSEHOLD = 49, PROBABILITYNEWVAR = 0.06, PERCENTAGENEWRANDVAR = 0.1, CROSSINGDEVIATION = 0.005, DEATHPROBABILITY = 0.2, MAXTIME = 3000, TIMEINTERVAL = 30, NRUN = 1 ###

quantity; frequency; param
41.6493; 0; 45
66.0097; 0; 45
0.0416493; 5; 46
0.0660097; 0; 46
0.104618; 0; 46
0.165809; 0; 46
0.262789; 5; 46
0.416493; 5; 46
0.660097; 0; 46
1.04618; 5; 46
1.65809; 10; 46
2.62789; 20; 46
4.16493; 15; 46
6.60097; 35; 46
10.4618; 0; 46
16.5809; 0; 46
26.2789; 0; 46
41.6493; 0; 46
66.0097; 0; 46
0.0416493; 17.8571; 47
0.0660097; 3.57143; 47
0.104618; 0; 47
0.165809; 3.57143; 47
0.262789; 0; 47
0.416493; 0; 47
0.660097; 7.14286; 47
1.04618; 14.2857; 47
1.65809; 10.7143; 47
2.62789; 17.8571; 47
4.16493; 7.14286; 47
6.60097; 10.7143; 47
10.4618; 7.14286; 47
16.5809; 0; 47
26.2789; 0; 47
41.6493; 0; 47
66.0097; 0; 47
0.0416493; 6.97674; 48
0.0660097; 2.32558; 48
0.104618; 4.65116; 48
0.165809; 4.65116; 48
0.262789; 4.65116; 48
0.416493; 2.32558; 48
0.660097; 6.97674; 48
1.04618; 11.6279; 48
1.65809; 16.2791; 48
2.62789; 27.907; 48
4.16493; 11.6279; 48
6.60097; 0; 48
10.4618; 0; 48
16.5809; 0; 48
26.2789; 0; 48
41.6493; 0; 48
66.0097; 0; 48
0.0416493; 15; 49
0.0660097; 5; 49
0.104618; 0; 49
0.165809; 0; 49
0.262789; 0; 49
0.416493; 5; 49
0.660097; 0; 49
1.04618; 10; 49
1.65809; 0; 49
2.62789; 10; 49
4.16493; 30; 49
6.60097; 15; 49
10.4618; 10; 49
16.5809; 0; 49
26.2789; 0; 49
41.6493; 0; 49
66.0097; 0; 49
0.0416493; 5.55556; 50
0.0660097; 0; 50
0.104618; 0; 50
0.165809; 0; 50
0.262789; 5.55556; 50
0.416493; 5.55556; 50
0.660097; 0; 50
1.04618; 0; 50
1.65809; 0; 50
2.62789; 16.6667; 50
4.16493; 38.8889; 50
6.60097; 27.7778; 50
10.4618; 0; 50
16.5809; 0; 50
26.2789; 0; 50
41.6493; 0; 50
66.0097; 0; 50
0.0416493; 9.09091; 51
0.0660097; 0; 51
0.104618; 4.54545; 51
0.165809; 0; 51
0.262789; 0; 51
0.416493; 0; 51
0.660097; 4.54545; 51
1.04618; 0; 51
1.65809; 13.6364; 51
2.62789; 22.7273; 51
4.16493; 22.7273; 51
6.60097; 18.1818; 51
10.4618; 4.54545; 51
16.5809; 0; 51
26.2789; 0; 51
41.6493; 0; 51
66.0097; 0; 51
0.0416493; 3.7037; 52
0.0660097; 7.40741; 52
0.104618; 0; 52
0.165809; 7.40741; 52
0.262789; 7.40741; 52
0.416493; 0; 52
0.660097; 7.40741; 52
1.04618; 14.8148; 52
1.65809; 11.1111; 52
2.62789; 11.1111; 52
4.16493; 11.1111; 52
6.60097; 14.8148; 52
10.4618; 3.7037; 52
16.5809; 0; 52
26.2789; 0; 52
41.6493; 0; 52
66.0097; 0; 52
0.0416493; 0; 53
0.0660097; 4.7619; 53
0.104618; 0; 53
0.165809; 4.7619; 53
0.262789; 4.7619; 53
0.416493; 0; 53
0.660097; 0; 53
1.04618; 4.7619; 53
1.65809; 9.52381; 53
2.62789; 14.2857; 53
4.16493; 38.0952; 53
6.60097; 19.0476; 53
10.4618; 0; 53
16.5809; 0; 53
26.2789; 0; 53
41.6493; 0; 53
66.0097; 0; 53
0.0416493; 11.1111; 54
0.0660097; 3.7037; 54
0.104618; 3.7037; 54
0.165809; 3.7037; 54
0.262789; 0; 54
0.416493; 7.40741; 54
0.660097; 3.7037; 54
1.04618; 7.40741; 54
1.65809; 3.7037; 54
2.62789; 14.8148; 54
4.16493; 25.9259; 54
6.60097; 14.8148; 54
10.4618; 0; 54
16.5809; 0; 54
26.2789; 0; 54
41.6493; 0; 54
66.0097; 0; 54
0.0416493; 11.4286; 55
0.0660097; 5.71429; 55
0.104618; 2.85714; 55
0.165809; 2.85714; 55
0.262789; 8.57143; 55
0.416493; 2.85714; 55
0.660097; 11.4286; 55
1.04618; 5.71429; 55
1.65809; 11.4286; 55
2.62789; 14.2857; 55
4.16493; 17.1429; 55
6.60097; 2.85714; 55
10.4618; 2.85714; 55
16.5809; 0; 55
26.2789; 0; 55
41.6493; 0; 55
66.0097; 0; 55
0.0416493; 16.6667; 56
0.0660097; 0; 56
0.104618; 0; 56
0.165809; 5.55556; 56
0.262789; 0; 56
0.416493; 0; 56
0.660097; 5.55556; 56
1.04618; 0; 56
1.65809; 11.1111; 56
2.62789; 16.6667; 56
4.16493; 5.55556; 56
6.60097; 27.7778; 56
10.4618; 5.55556; 56
16.5809; 5.55556; 56
26.2789; 0; 56
41.6493; 0; 56
66.0097; 0; 56
0.0416493; 13.7931; 57
0.0660097; 0; 57
0.104618; 0; 57
0.165809; 0; 57
0.262789; 3.44828; 57
0.416493; 6.89655; 57
0.660097; 6.89655; 57
1.04618; 6.89655; 57
1.65809; 6.89655; 57
2.62789; 27.5862; 57
4.16493; 13.7931; 57
6.60097; 13.7931; 57
10.4618; 0; 57
16.5809; 0; 57
26.2789; 0; 57
41.6493; 0; 57
66.0097; 0; 57
0.0416493; 0; 58
0.0660097; 0; 58
0.104618; 3.7037; 58
0.165809; 3.7037; 58
0.262789; 3.7037; 58
0.416493; 3.7037; 58
0.660097; 14.8148; 58
1.04618; 3.7037; 58
1.65809; 11.1111; 58
2.62789; 25.9259; 58
4.16493; 11.1111; 58
6.60097; 18.5185; 58
10.4618; 0; 58
16.5809; 0; 58
26.2789; 0; 58
41.6493; 0; 58
66.0097; 0; 58
0.0416493; 18.1818; 59
0.0660097; 0; 59
0.104618; 4.54545; 59
0.165809; 4.54545; 59
