### PARAMETERS VALUE ###
### LATTICESIZE = 49, NVARIETY = 10, NVARIETYHD = 5, NRESOURCE = 3, NRESOURCEDIST = 1, NETWORKTYPE = 1, PROBABILITYCONNECTION = 0.15, KWT = 4, BETAWT = 0.2, MSF = 2, OUTSIDETRADELIMIT = 0.32, SELECTIONSTRENGTH = 10, ALPHA = 0.6, NHOUSEHOLD = 49, PROBABILITYNEWVAR = 0.06, PERCENTAGENEWRANDVAR = 0.1, CROSSINGDEVIATION = 0.005, DEATHPROBABILITY = 0.2, MAXTIME = 3000, TIMEINTERVAL = 30, NRUN = 1 ###

time; nVar; meanHD; totalPunctuation; productivityPunctuation; qualityPunctuation; bergerCommunity; simpsonCommunity; shannonCommunity; bergerHD; simpsonHD; shannonHD; param
2820; 16; 4.34694; 0.420303; 0.120576; 0.299727; 0.102874; 0.907629; 0.909569; 0.454811; 0.299501; 0.740489; 0
2850; 15; 3.81633; 0.424981; 0.121316; 0.303665; 0.102041; 0.907303; 0.930676; 0.477301; 0.320453; 0.783879; 0
2880; 16; 4.14286; 0.417306; 0.119537; 0.297769; 0.129529; 0.899657; 0.853001; 0.424406; 0.278073; 0.798952; 0
2910; 17; 4.18367; 0.423748; 0.119701; 0.304047; 0.13661; 0.903138; 0.871783; 0.431487; 0.28115; 0.791862; 0
2940; 18; 4.08163; 0.430394; 0.120851; 0.309543; 0.104123; 0.903833; 0.859682; 0.444398; 0.289429; 0.791214; 0
2970; 17; 4.18367; 0.429473; 0.124478; 0.304995; 0.138692; 0.893515; 0.880058; 0.44773; 0.299756; 0.798615; 0
0; 10; 4.08163; 0.406954; 0.167265; 0.239689; 0.125781; 0.893295; 0.986103; 0.328197; 0.212276; 0.900759; 1
30; 12; 3.91837; 0.498371; 0.191353; 0.307017; 0.188671; 0.89212; 0.785379; 0.507705; 0.366607; 0.764225; 1
60; 31; 4.61225; 0.523706; 0.215475; 0.308231; 0.139109; 0.925049; 0.800909; 0.45606; 0.303266; 0.749753; 1
90; 40; 4.69388; 0.558522; 0.248289; 0.310234; 0.31945; 0.841849; 0.70679; 0.496876; 0.349676; 0.748379; 1
120; 41; 4.67347; 0.575836; 0.264688; 0.311148; 0.312786; 0.848209; 0.712056; 0.440233; 0.305289; 0.783824; 1
150; 39; 4.91837; 0.577902; 0.271299; 0.306603; 0.300708; 0.830337; 0.654382; 0.459392; 0.30823; 0.772335; 1
180; 37; 5.12245; 0.588446; 0.275629; 0.312817; 0.256143; 0.858091; 0.728564; 0.417743; 0.279603; 0.776873; 1
210; 28; 5.30612; 0.579437; 0.274021; 0.305416; 0.228238; 0.868329; 0.741839; 0.396501; 0.252947; 0.777946; 1
240; 24; 5.42857; 0.585517; 0.275539; 0.309977; 0.222407; 0.868582; 0.740887; 0.383174; 0.244473; 0.795995; 1
270; 25; 5.57143; 0.575407; 0.268123; 0.307283; 0.162432; 0.894638; 0.806644; 0.394835; 0.247507; 0.773411; 1
300; 22; 5.28571; 0.581669; 0.274157; 0.307512; 0.229904; 0.864624; 0.764437; 0.389005; 0.245264; 0.799859; 1
330; 21; 4.87755; 0.589155; 0.276513; 0.312642; 0.202416; 0.878557; 0.766769; 0.428988; 0.275854; 0.791595; 1
360; 24; 5.44898; 0.596392; 0.280913; 0.315479; 0.230737; 0.871068; 0.78537; 0.403582; 0.265255; 0.777572; 1
390; 22; 5.42857; 0.589144; 0.274164; 0.31498; 0.174927; 0.898814; 0.814445; 0.40025; 0.250474; 0.785891; 1
420; 24; 5.34694; 0.583228; 0.27256; 0.310668; 0.176593; 0.892382; 0.775701; 0.406914; 0.261464; 0.773144; 1
450; 27; 5.26531; 0.586251; 0.277769; 0.308482; 0.229071; 0.861034; 0.774481; 0.397334; 0.254307; 0.791052; 1
480; 22; 5.73469; 0.589475; 0.277574; 0.311901; 0.164098; 0.903487; 0.785831; 0.386922; 0.243989; 0.795061; 1
510; 29; 5.55102; 0.592713; 0.281216; 0.311497; 0.197418; 0.887307; 0.793251; 0.378592; 0.245646; 0.803936; 1
540; 24; 5.16327; 0.592598; 0.281035; 0.311563; 0.204082; 0.885188; 0.789715; 0.413578; 0.264405; 0.801378; 1
570; 24; 5.18367; 0.591532; 0.280776; 0.310756; 0.204915; 0.889402; 0.814573; 0.397751; 0.253627; 0.812164; 1
600; 24; 5.71429; 0.593475; 0.282803; 0.310673; 0.196585; 0.893381; 0.767087; 0.389838; 0.245; 0.791631; 1
630; 30; 5.73469; 0.596644; 0.284665; 0.311979; 0.159933; 0.897528; 0.779031; 0.374844; 0.235412; 0.80298; 1
660; 28; 5.79592; 0.590109; 0.281722; 0.308386; 0.165764; 0.896291; 0.79286; 0.387755; 0.238668; 0.794001; 1
690; 25; 5.2449; 0.598722; 0.286628; 0.312093; 0.1591; 0.898671; 0.829778; 0.390254; 0.250355; 0.820647; 1
720; 20; 5.57143; 0.589566; 0.286334; 0.303232; 0.141608; 0.887629; 0.803281; 0.352353; 0.221489; 0.819618; 1
750; 21; 5.73469; 0.603691; 0.293225; 0.310465; 0.169929; 0.889917; 0.828622; 0.377759; 0.236441; 0.816784; 1
780; 18; 6.06122; 0.596364; 0.285982; 0.310382; 0.116618; 0.913049; 0.836847; 0.357351; 0.212794; 0.820759; 1
810; 23; 5.77551; 0.592109; 0.28771; 0.304399; 0.148272; 0.896548; 0.780798; 0.37651; 0.226088; 0.80965; 1
840; 24; 6.12245; 0.602075; 0.294346; 0.307729; 0.119534; 0.916322; 0.880549; 0.381091; 0.234639; 0.802452; 1
870; 22; 6.20408; 0.61779; 0.305563; 0.312227; 0.11287; 0.933478; 0.881297; 0.383174; 0.236543; 0.798644; 1
900; 25; 6.36735; 0.629686; 0.316851; 0.312835; 0.135777; 0.925727; 0.854661; 0.372761; 0.231919; 0.802447; 1
930; 27; 6.46939; 0.636822; 0.331242; 0.30558; 0.19117; 0.883404; 0.768388; 0.373594; 0.235242; 0.782266; 1
960; 26; 5.89796; 0.647336; 0.341462; 0.305874; 0.220741; 0.865093; 0.78054; 0.399; 0.257826; 0.776945; 1
990; 21; 5.18367; 0.656876; 0.351167; 0.305709; 0.183257; 0.855393; 0.718129; 0.417743; 0.277146; 0.796231; 1
1020; 21; 5.40816; 0.664414; 0.356384; 0.30803; 0.221158; 0.830139; 0.747548; 0.381091; 0.253015; 0.809281; 1
1050; 15; 5.4898; 0.664766; 0.355116; 0.30965; 0.191587; 0.851943; 0.798014; 0.387339; 0.252692; 0.812293; 1
1080; 15; 5.26531; 0.678654; 0.366049; 0.312605; 0.242399; 0.826593; 0.730327; 0.413161; 0.275149; 0.802895; 1
1110; 16; 5.26531; 0.664396; 0.359201; 0.305196; 0.211995; 0.834406; 0.758993; 0.377343; 0.247635; 0.819913; 1
1140; 16; 5.46939; 0.67402; 0.364896; 0.309124; 0.219075; 0.843733; 0.784346; 0.384423; 0.246853; 0.82905; 1
1170; 14; 5.02041; 0.678024; 0.368734; 0.30929; 0.219075; 0.829276; 0.763798; 0.394419; 0.271919; 0.818155; 1
1200; 13; 5.53061; 0.675996; 0.368176; 0.307819; 0.187422; 0.843212; 0.788377; 0.371928; 0.247159; 0.820894; 1
1230; 13; 5.30612; 0.677532; 0.369363; 0.308169; 0.215743; 0.832217; 0.795556; 0.401083; 0.265544; 0.815571; 1
1260; 13; 5.53061; 0.670475; 0.364045; 0.306429; 0.182007; 0.852241; 0.767901; 0.375677; 0.240656; 0.820747; 1
1290; 15; 5.38776; 0.678332; 0.369515; 0.308817; 0.201583; 0.83116; 0.783732; 0.390671; 0.253355; 0.817313; 1
1320; 12; 4.77551; 0.67998; 0.371278; 0.308702; 0.20075; 0.826909; 0.789406; 0.405248; 0.272234; 0.836541; 1
1350; 10; 5.28571; 0.67464; 0.36742; 0.307221; 0.190337; 0.842493; 0.801486; 0.37526; 0.246844; 0.828078; 1
1380; 13; 4.87755; 0.675862; 0.368585; 0.307277; 0.219492; 0.838341; 0.748465; 0.421908; 0.281889; 0.805954; 1
1410; 15; 5.16327; 0.675022; 0.368629; 0.306393; 0.223657; 0.825727; 0.747583; 0.392337; 0.257265; 0.82435; 1
1440; 14; 5.04082; 0.684331; 0.373424; 0.310906; 0.204915; 0.828581; 0.771106; 0.394419; 0.263955; 0.826467; 1
1470; 12; 5.08163; 0.682251; 0.371892; 0.310359; 0.208663; 0.834919; 0.746816; 0.417326; 0.277112; 0.813758; 1
1500; 14; 5.59184; 0.670745; 0.364892; 0.305852; 0.183673; 0.849439; 0.800949; 0.381091; 0.243937; 0.814955; 1
1530; 13; 5.73469; 0.676236; 0.366805; 0.309431; 0.179925; 0.854674; 0.887301; 0.361516; 0.231927; 0.821154; 1
1560; 11; 5.65306; 0.683465; 0.370356; 0.313109; 0.187422; 0.862375; 0.81469; 0.370262; 0.242101; 0.824518; 1
1590; 13; 5.12245; 0.673969; 0.368425; 0.305544; 0.183673; 0.840387; 0.788134; 0.398167; 0.255565; 0.831676; 1
1620; 12; 5.38776; 0.680434; 0.37072; 0.309714; 0.195752; 0.84253; 0.779697; 0.382341; 0.249088; 0.824294; 1
1650; 13; 5.61225; 0.67406; 0.367421; 0.306639; 0.172428; 0.855182; 0.884426; 0.372345; 0.239475; 0.826955; 1
1680; 11; 5.63265; 0.681874; 0.37266; 0.309213; 0.186172; 0.843465; 0.7994; 0.362349; 0.239144; 0.827836; 1
1710; 12; 5.53061; 0.68135; 0.371726; 0.309624; 0.205331; 0.847473; 0.806979; 0.358601; 0.230618; 0.841101; 1
1740; 12; 5.14286; 0.679133; 0.371083; 0.30805; 0.199084; 0.839441; 0.765583; 0.366514; 0.240087; 0.849274; 1
1770; 15; 5.12245; 0.683103; 0.373788; 0.309315; 0.193253; 0.839756; 0.733967; 0.374844; 0.255123; 0.83895; 1
1800; 15; 5.28571; 0.670787; 0.365278; 0.305509; 0.204498; 0.851806; 0.765003; 0.37526; 0.237588; 0.830937; 1
1830; 15; 5.44898; 0.680254; 0.370936; 0.309318; 0.211579; 0.845243; 0.743426; 0.380258; 0.251468; 0.822926; 1
1860; 16; 5.08163; 0.689693; 0.375817; 0.313876; 0.206164; 0.839306; 0.754489; 0.411495; 0.268902; 0.821208; 1
1890; 14; 5.4898; 0.688149; 0.371963; 0.316186; 0.178676; 0.862568; 0.767208; 0.380258; 0.24925; 0.826014; 1
1920; 16; 5.20408; 0.690831; 0.373742; 0.317089; 0.187422; 0.855035; 0.812419; 0.405664; 0.272803; 0.81266; 1
