Nvariety;Reference;Data;Specie
5;Winter et al. (2005);1999;Potato
5;Winter et al. (2005);1999;Potato
5;Winter et al. (2005);1999;Potato
5;Winter et al. (2005);1999;Potato
5;Winter et al. (2005);1999;Potato
5;Winter et al. (2005);1999;Potato
5;Winter et al. (2005);1999;Potato
5;Winter et al. (2005);1999;Potato
5;Winter et al. (2005);1999;Potato
5;Winter et al. (2005);1999;Potato
5;Winter et al. (2005);1999;Potato
5;Winter et al. (2005);1999;Potato
5;Winter et al. (2005);1999;Potato
5;Winter et al. (2005);1999;Potato
5;Winter et al. (2005);1999;Potato
5;Winter et al. (2005);1999;Potato
5;Winter et al. (2005);1999;Potato
5;Winter et al. (2005);1999;Potato
5;Winter et al. (2005);1999;Potato
5;Winter et al. (2005);1999;Potato
5;Winter et al. (2005);1999;Potato
5;Winter et al. (2005);1999;Potato
5;Winter et al. (2005);1999;Potato
5;Winter et al. (2005);1999;Potato
5;Winter et al. (2005);1999;Potato
5;Winter et al. (2005);1999;Potato
5;Winter et al. (2005);1999;Potato
5;Winter et al. (2005);1999;Potato
5;Winter et al. (2005);1999;Potato
5;Winter et al. (2005);1999;Potato
5;Winter et al. (2005);1999;Potato
5;Winter et al. (2005);1999;Potato
5;Winter et al. (2005);1999;Potato
5;Winter et al. (2005);1999;Potato
5;Winter et al. (2005);1999;Potato
5;Winter et al. (2005);1999;Potato
5;Winter et al. (2005);1999;Potato
5;Winter et al. (2005);1999;Potato
5;Winter et al. (2005);1999;Potato
5;Winter et al. (2005);1999;Potato
5;Winter et al. (2005);1999;Potato
5;Winter et al. (2005);1999;Potato
5;Winter et al. (2005);1999;Potato
5;Winter et al. (2005);1999;Potato
5;Winter et al. (2005);1999;Potato
5;Winter et al. (2005);1999;Potato
4;Winter et al. (2005);1999;Potato
4;Winter et al. (2005);1999;Potato
4;Winter et al. (2005);1999;Potato
4;Winter et al. (2005);1999;Potato
4;Winter et al. (2005);1999;Potato
4;Winter et al. (2005);1999;Potato
4;Winter et al. (2005);1999;Potato
4;Winter et al. (2005);1999;Potato
4;Winter et al. (2005);1999;Potato
4;Winter et al. (2005);1999;Potato
4;Winter et al. (2005);1999;Potato
4;Winter et al. (2005);1999;Potato
4;Winter et al. (2005);1999;Potato
4;Winter et al. (2005);1999;Potato
4;Winter et al. (2005);1999;Potato
4;Winter et al. (2005);1999;Potato
4;Winter et al. (2005);1999;Potato
4;Winter et al. (2005);1999;Potato
4;Winter et al. (2005);1999;Potato
4;Winter et al. (2005);1999;Potato
4;Winter et al. (2005);1999;Potato
4;Winter et al. (2005);1999;Potato
4;Winter et al. (2005);1999;Potato
4;Winter et al. (2005);1999;Potato
