### PARAMETERS VALUE ###
### LATTICESIZE = 49, NVARIETY = 50, NRESOURCE = 3, NRESOURCEDIST = 1, NETWORKTYPE = 1, PROBABILITYCONNECTION = 0.15, KWT = 4, BETAWT = 0.2, MSF = 2, OUTSIDETRADELIMIT = 0.01, INSIDETRADELIMIT = 0.05, ALPHA = 0.5, NDOMESTICUNITY = 49, PROBABILITYNEWVAR = 0.0001, MAXTIME = 500, TIMEINTERVAL = 5, NRUN = 500 ###

DU;Type;difference;Time
27;0;-0.0165893;9
27;1;0.196085;9
48;0;0.0104111;9
48;1;0.213742;9
17;0;0.00795537;9
17;1;0.245377;9
39;0;0.0143852;9
39;1;0.164323;9
19;0;0.0175261;9
19;1;0.225166;9
43;0;0.0162753;9
43;1;0.2298;9
24;0;0.0069223;9
24;1;0.213536;9
23;0;-0.00288546;9
23;1;0.178687;9
29;0;0.0168975;9
29;1;0.194723;9
9;0;0.0069477;9
9;1;0.182899;9
3;0;0.00386274;9
3;1;0.22571;9
35;0;0.0119198;9
35;1;0.245277;9
32;0;0.00755894;9
32;1;0.213536;9
18;0;0.00748175;9
18;1;0.204875;9
14;0;-0.0144017;9
14;1;0.161385;9
15;0;0.0201201;9
15;1;0.188325;9
10;0;0.0108718;9
10;1;0.192505;9
38;0;0.0347998;9
38;1;0.183204;9
42;0;0.00783253;9
42;1;0.233387;9
34;0;0.000226915;9
34;1;0.225166;9
1;0;0.0236883;9
1;1;0.244066;9
30;0;-0.00368321;9
30;1;0.1683;9
28;0;0.0310062;9
28;1;0.249133;9
46;0;0.013682;9
46;1;0.172552;9
41;0;-0.00783253;9
41;1;0.188275;9
4;0;-0.00166744;9
4;1;0.221126;9
11;0;0.0107939;9
11;1;0.183034;9
44;0;0.00625759;9
44;1;0.168543;9
6;0;0.00173491;9
6;1;0.21337;9
16;0;0.0188227;9
16;1;0.216834;9
7;0;0.00212562;9
7;1;0.224433;9
26;0;0.0360898;9
26;1;0.214541;9
31;0;0.0190066;9
31;1;0.171585;9
25;0;0.0165893;9
25;1;0.251457;9
13;0;0.0144017;9
13;1;0.216834;9
47;0;0.00848323;9
47;1;0.202244;9
22;0;0.0157023;9
22;1;0.183466;9
43;0;0.0163528;10
43;1;0.213742;10
36;0;0.00879616;10
36;1;0.183171;10
15;0;0.0202418;10
15;1;0.183839;10
16;0;0.0186906;10
